	null
the	12.234
of	12.22
and	12.21
in	12.195
to	12.125
gene	12.06
soybean	11.96
for	11.914
that	11.9
plant	11.84
were	11.836
with	11.82
is	11.78
genom	11.734
express	11.64
by	11.59
protein	11.586
wa	11.586
we	11.555
as	11.555
are	11.54
thi	11.53
use	11.445
from	11.44
stress	11.44
on	11.43
studi	11.42
identifi	11.42
sequenc	11.38
these	11.305
analysi	11.266
function	11.23
be	11.22
an	11.2
develop	11.195
respons	11.195
seed	11.18
have	11.164
which	11.13
resist	11.1
genet	11.05
result	11.016
regul	11.01
two	10.945
it	10.94
root	10.93
differ	10.92
import	10.914
transcript	10.914
famili	10.9
speci	10.89
show	10.875
crop	10.87
associ	10.83
been	10.82
map	10.81
their	10.805
at	10.805
or	10.78
marker	10.74
ha	10.73
role	10.73
qtl	10.72
trait	10.72
high	10.72
provid	10.7
acid	10.69
specif	10.63
toler	10.63
under	10.625
between	10.62
also	10.6
increas	10.59
level	10.58
region	10.57
base	10.555
improv	10.54
relat	10.54
involv	10.53
legum	10.53
includ	10.484
breed	10.484
line	10.47
select	10.45
data	10.445
molecular	10.445
reveal	10.445
into	10.445
one	10.414
nodul	10.41
suggest	10.4
our	10.39
drought	10.39
activ	10.39
chromosom	10.39
factor	10.375
other	10.375
both	10.35
glycin	10.34
most	10.34
snp	10.33
arabidopsi	10.33
compar	10.31
flower	10.31
three	10.29
not	10.27
pathway	10.266
indic	10.266
howev	10.26
can	10.26
duplic	10.25
mechan	10.24
popul	10.24
found	10.234
content	10.23
but	10.22
growth	10.22
dure	10.22
cell	10.21
major	10.19
genotyp	10.18
type	10.17
process	10.16
may	10.16
gener	10.15
like	10.15
addit	10.14
product	10.14
rna	10.14
effect	10.13
yield	10.13
control	10.125
than	10.12
max	10.12
cultivar	10.12
interact	10.12
among	10.11
all	10.09
structur	10.09
more	10.08
induc	10.07
group	10.06
conserv	10.05
number	10.05
present	10.05
character	10.04
mutant	10.04
target	10.04
candid	10.03
condit	10.02
signal	10.02
wide	10.02
such	10.02
mirna	10.016
sever	10.016
further	10.016
total	10.0
pattern	9.99
allel	9.99
time	9.984
oil	9.984
loci	9.97
play	9.97
promot	9.96
tissu	9.96
phenotyp	9.96
divers	9.95
understand	9.95
salt	9.945
analys	9.945
transgen	9.94
contain	9.94
metabol	9.93
new	9.93
abiot	9.91
encod	9.89
differenti	9.89
well	9.88
singl	9.88
here	9.875
model	9.86
chang	9.86
potenti	9.84
wild	9.84
domain	9.84
through	9.836
detect	9.82
approach	9.81
report	9.8
evolut	9.766
organ	9.766
variat	9.766
larg	9.76
transcriptom	9.75
novel	9.734
significantli	9.73
will	9.73
quantit	9.71
system	9.71
higher	9.69
signific	9.68
respect	9.68
predict	9.67
research	9.67
variou	9.664
low	9.66
mani	9.63
access	9.63
element	9.62
dna	9.61
known	9.61
could	9.6
four	9.6
enhanc	9.6
key	9.59
inform	9.586
phylogenet	9.586
biolog	9.58
highli	9.57
stage	9.57
recent	9.57
perform	9.57
investig	9.555
varieti	9.54
onli	9.54
locu	9.53
method	9.53
accumul	9.52
common	9.49
some	9.48
member	9.48
overexpress	9.48
complex	9.48
biosynthesi	9.47
infect	9.47
bean	9.47
transport	9.46
resourc	9.45
demonstr	9.45
multipl	9.445
polymorph	9.445
avail	9.445
nucleotid	9.44
effici	9.43
within	9.42
reduc	9.42
while	9.41
enzym	9.41
similar	9.4
locat	9.4
nitrogen	9.4
affect	9.4
profil	9.4
analyz	9.38
non	9.375
identif	9.375
deriv	9.37
determin	9.36
leaf	9.36
flood	9.36
evolutionari	9.35
leav	9.34
observ	9.34
posit	9.34
event	9.33
regulatori	9.31
after	9.31
homolog	9.31
pathogen	9.305
assembl	9.3
contribut	9.3
bind	9.3
treatment	9.29
local	9.28
tool	9.27
each	9.26
whole	9.25
put	9.25
qualiti	9.25
mutat	9.25
technolog	9.24
scn	9.24
diseas	9.234
limit	9.234
environ	9.234
annot	9.234
caus	9.234
recombin	9.23
pcr	9.22
repeat	9.21
had	9.195
rel	9.195
across	9.19
combin	9.19
pi	9.18
linkag	9.17
adapt	9.164
first	9.16
network	9.16
five	9.13
furthermor	9.13
refer	9.13
find	9.125
defens	9.125
distribut	9.125
matur	9.12
exhibit	9.12
site	9.12
cluster	9.11
up	9.1
motif	9.086
they	9.08
no	9.07
mediat	9.06
water	9.06
earli	9.05
set	9.04
applic	9.03
amino	9.016
seq	9.016
cultiv	9.016
decreas	9.016
size	9.016
food	9.0
day	9.0
environment	8.99
rate	8.99
produc	8.984
remain	8.98
review	8.98
domest	8.98
those	8.97
repres	8.97
diverg	8.97
previous	8.96
glyma	8.96
loss	8.96
form	8.96
proteom	8.95
integr	8.945
rice	8.945
relationship	8.93
over	8.93
co	8.92
sourc	8.92
assist	8.914
small	8.914
there	8.91
insight	8.91
pair	8.9
about	8.89
underli	8.89
essenti	8.89
sensit	8.875
basi	8.87
confirm	8.87
compon	8.86
evalu	8.86
futur	8.85
length	8.84
year	8.84
cross	8.84
six	8.84
abund	8.836
clone	8.836
possibl	8.81
might	8.81
suscept	8.81
databas	8.8
thu	8.8
composit	8.8
strategi	8.8
due	8.8
construct	8.79
util	8.78
concentr	8.77
long	8.77
seedl	8.766
them	8.766
current	8.766
collect	8.76
consist	8.76
although	8.76
class	8.75
ssr	8.75
physiolog	8.75
occur	8.734
requir	8.734
against	8.734
development	8.73
code	8.72
rang	8.72
valu	8.71
origin	8.695
lead	8.695
natur	8.69
methyl	8.69
comprehens	8.69
pod	8.68
facilit	8.68
kinas	8.68
when	8.68
togeth	8.68
biotic	8.68
host	8.68
obtain	8.67
moreov	8.67
merr	8.67
aba	8.664
correl	8.664
help	8.664
stem	8.65
germplasm	8.65
program	8.64
depend	8.63
distinct	8.625
ortholog	8.625
advanc	8.62
weight	8.62
fatti	8.61
via	8.59
test	8.59
isol	8.59
copi	8.59
design	8.586
valid	8.58
assay	8.57
evid	8.56
nematod	8.56
describ	8.56
discuss	8.56
membran	8.56
germin	8.56
knowledg	8.56
defici	8.56
follow	8.55
wherea	8.55
format	8.54
synthesi	8.54
agricultur	8.54
shoot	8.53
modul	8.52
examin	8.51
allow	8.51
human	8.51
short	8.51
uniqu	8.51
peptid	8.5
therefor	8.5
silenc	8.49
how	8.48
subfamili	8.47
thaliana	8.47
support	8.47
soil	8.47
ril	8.46
field	8.45
global	8.45
smv	8.445
transform	8.445
conduct	8.445
comparison	8.445
rich	8.445
explor	8.44
salin	8.44
lineag	8.43
light	8.43
edit	8.42
read	8.42
clade	8.414
wall	8.41
work	8.4
gwa	8.4
mainli	8.4
ci	8.4
intron	8.4
especi	8.39
ii	8.39
hormon	8.39
enrich	8.38
alter	8.375
lower	8.375
crispr	8.375
agronom	8.375
carri	8.375
metabolit	8.37
parent	8.37
main	8.36
wrki	8.36
term	8.35
eight	8.336
establish	8.336
inbr	8.336
insert	8.336
critic	8.33
inocul	8.33
kb	8.33
tf	8.33
enabl	8.32
better	8.32
confer	8.31
appli	8.31
seven	8.31
receptor	8.305
valuabl	8.305
need	8.3
complet	8.3
featur	8.3
neg	8.29
presenc	8.29
world	8.29
out	8.29
close	8.28
link	8.28
symbiot	8.28
veget	8.27
sampl	8.27
variant	8.27
same	8.27
hybrid	8.266
act	8.26
mrna	8.26
segment	8.26
fixat	8.25
becaus	8.25
challeng	8.24
shown	8.234
contrast	8.234
expans	8.23
individu	8.23
techniqu	8.23
initi	8.22
nutrit	8.22
al	8.21
angiosperm	8.21
grain	8.2
experi	8.2
haplotyp	8.2
cm	8.2
synthas	8.195
throughput	8.195
inhibit	8.195
delet	8.19
belong	8.19
symbiosi	8.19
exist	8.19
heat	8.18
order	8.18
success	8.18
scale	8.18
econom	8.18
deg	8.17
isoflavon	8.17
densiti	8.164
screen	8.16
temperatur	8.15
worldwid	8.15
phytophthora_soja	8.14
bioinformat	8.14
classifi	8.14
assess	8.13
highlight	8.13
auxin	8.125
de	8.125
correspond	8.12
veri	8.11
viru	8.11
unknown	8.1
previou	8.09
hairi	8.09
iron	8.09
down	8.086
propos	8.086
tag	8.086
characterist	8.086
final	8.08
physic	8.07
crucial	8.07
nutrient	8.055
display	8.055
impact	8.05
architectur	8.03
reduct	8.03
upregul	8.02
strong	8.02
photoperiod	8.02
secondari	8.02
bp	8.016
direct	8.016
suppress	8.01
segreg	8.01
rhizobia	8.01
real	7.996
cold	7.992
reaction	7.992
interv	7.992
soja	7.99
aim	7.99
independ	7.984
next	7.977
consid	7.977
photosynthesi	7.973
translat	7.97
termin	7.97
fine	7.965
few	7.965
cellular	7.965
approxim	7.96
elucid	7.96
feed	7.96
aphid	7.957
anim	7.957
averag	7.957
less	7.957
modif	7.953
extens	7.953
object	7.95
cas9	7.945
fix	7.945
librari	7.945
medicago	7.945
glycine_max	7.945
nuclear	7.94
discoveri	7.938
then	7.934
box	7.93
emerg	7.93
explain	7.926
exon	7.926
evolv	7.926
engin	7.926
million	7.918
littl	7.91
gain	7.91
search	7.906
influenc	7.902
share	7.902
oxid	7.9
chickpea	7.9
overal	7.895
tree	7.895
appear	7.895
qrt	7.89
strain	7.89
where	7.883
name	7.88
discov	7.88
wheat	7.88
grown	7.875
subsequ	7.87
part	7.867
myb	7.867
least	7.86
rapid	7.86
normal	7.85
lack	7.848
primari	7.844
cd	7.844
lrr	7.84
eukaryot	7.836
f2	7.83
either	7.82
interest	7.82
grow	7.82
coat	7.812
post	7.81
mg	7.805
nine	7.805
rt	7.805
mb	7.8
align	7.797
green	7.793
paralog	7.79
rhg1	7.785
vari	7.78
progress	7.78
along	7.777
maintain	7.77
maiz	7.77
still	7.77
acceler	7.766
nb	7.766
detail	7.76
end	7.76
induct	7.758
stabl	7.754
per	7.754
measur	7.75
sugar	7.75
made	7.746
constitut	7.746
taken	7.746
phosphat	7.746
medicago_truncatula	7.742
free	7.727
tandem	7.723
achiev	7.723
platform	7.72
simpl	7.72
reproduct	7.72
compris	7.71
effort	7.707
respond	7.703
subunit	7.703
area	7.703
iii	7.7
wgd	7.695
toward	7.695
land	7.69
ethylen	7.684
dataset	7.684
yeast	7.68
william	7.68
ratio	7.68
fragment	7.676
core	7.676
particularli	7.67
omic	7.67
abil	7.664
point	7.66
highest	7.66
near	7.66
immun	7.65
treat	7.645
would	7.64
date	7.64
fold	7.64
us	7.64
sustain	7.633
cotton	7.63
climat	7.63
chlorophyl	7.63
amount	7.625
storag	7.625
make	7.625
carbon	7.62
revers	7.62
led	7.617
fruit	7.617
floral	7.613
background	7.613
properti	7.61
domin	7.605
compound	7.6
te	7.598
dynam	7.598
sa	7.594
lipid	7.582
optim	7.58
photosynthet	7.574
flavonoid	7.574
ani	7.57
systemat	7.566
biochem	7.562
often	7.562
full	7.562
microrna	7.56
damag	7.555
metal	7.55
abscis	7.547
histori	7.543
cotyledon	7.543
step	7.543
bacteria	7.54
altern	7.54
frequenc	7.54
sinc	7.54
chain	7.54
foundat	7.54
senesc	7.54
partial	7.535
should	7.53
experiment	7.53
modifi	7.527
block	7.523
polyploid	7.523
cycl	7.516
yet	7.516
residu	7.51
pea	7.508
basic	7.5
cyst	7.5
divid	7.496
oxygen	7.496
way	7.492
serv	7.484
regard	7.484
fe	7.484
ontolog	7.48
despit	7.477
monocot	7.477
morpholog	7.47
degrad	7.47
expand	7.47
becom	7.465
substitut	7.465
directli	7.457
great	7.457
splice	7.457
without	7.457
particular	7.453
did	7.45
bac	7.445
chapter	7.445
power	7.44
focus	7.44
call	7.44
tomato	7.438
height	7.438
accord	7.434
subcellular	7.434
bacteri	7.434
novo	7.434
strongli	7.434
defin	7.43
later	7.43
phase	7.43
greater	7.426
cowpea	7.42
toxic	7.406
branch	7.406
estim	7.406
sucros	7.406
precis	7.402
array	7.395
illumina	7.39
breeder	7.383
stabil	7.383
nil	7.383
particip	7.38
numer	7.375
http	7.37
substanti	7.37
substrat	7.367
truncatula	7.363
transfer	7.36
summar	7.355
comput	7.355
phaseolu	7.35
broad	7.344
materi	7.34
second	7.34
synteni	7.336
dehydr	7.332
est	7.332
color	7.33
even	7.324
address	7.324
energi	7.324
period	7.316
molecul	7.316
race	7.316
ft	7.316
capac	7.316
understood	7.312
infer	7.312
sd	7.312
purifi	7.31
repress	7.3
much	7.3
e1	7.3
primer	7.3
go	7.3
typic	7.297
complement	7.297
fluoresc	7.297
uptak	7.293
chloroplast	7.293
china	7.293
silico	7.293
polyploidi	7.29
cdna	7.285
ident	7.285
resequenc	7.285
isoform	7.28
restrict	7.28
embryo	7.28
phosphoryl	7.28
late	7.28
employ	7.277
continu	7.277
zinc	7.273
vulgari	7.27
decad	7.27
trigger	7.27
eudicot	7.27
subject	7.266
peanut	7.266
homeostasi	7.254
chr	7.254
diversif	7.25
elev	7.25
subgroup	7.25
steril	7.25
nucleu	7.25
introduc	7.246
carbohydr	7.246
accuraci	7.242
indel	7.242
probabl	7.242
effector	7.242
cost	7.24
promis	7.234
wt	7.23
oleic	7.23
death	7.23
phosphoru	7.227
state	7.227
extrem	7.227
rapidli	7.227
hair	7.227
ro	7.227
dissect	7.227
inhibitor	7.227
transpos	7.223
gm	7.223
offer	7.223
diploid	7.22
ph	7.22
special	7.22
male	7.21
antioxid	7.21
implic	7.207
resolut	7.195
greatli	7.19
deficit	7.188
alkalin	7.188
flank	7.188
tobacco	7.184
br	7.18
sub	7.176
multi	7.176
microarray	7.17
ten	7.17
ancient	7.17
distanc	7.17
contig	7.168
possess	7.168
ga	7.164
upon	7.16
context	7.16
relev	7.16
releas	7.16
inherit	7.16
unclear	7.16
phytohormon	7.16
separ	7.156
variabl	7.156
largest	7.156
pool	7.152
mass	7.152
manag	7.15
exampl	7.145
landrac	7.145
biosynthet	7.14
arabidopsis_thaliana	7.14
doubl	7.133
throughout	7.133
mapk	7.133
health	7.125
panel	7.125
jasmon	7.125
shape	7.125
conclus	7.12
ion	7.117
open	7.117
protect	7.113
leucin	7.105
calcium	7.105
account	7.1
extract	7.098
creat	7.098
lupin	7.09
rnai	7.09
parasit	7.086
transit	7.082
now	7.082
elit	7.08
epigenet	7.08
amplifi	7.074
transient	7.074
cover	7.074
gb	7.074
opportun	7.07
fertil	7.07
so	7.07
harbor	7.07
transduct	7.066
sirna	7.062
retrotransposon	7.062
hypocotyl	7.06
except	7.06
insect	7.06
verifi	7.055
cystein	7.05
endogen	7.047
pest	7.047
artifici	7.047
industri	7.047
ancestor	7.047
