	0
understood	4.1
decad	4.098
even	4.098
subject	4.098
http	4.098
particip	4.098
rapidli	4.098
greatli	4.098
chapter	4.098
truncatula	4.098
serv	4.098
vulgari	4.098
strongli	4.094
now	4.094
promis	4.094
despit	4.094
manag	4.094
so	4.094
unclear	4.094
upon	4.094
exampl	4.094
directli	4.094
verifi	4.094
focus	4.094
partial	4.094
way	4.094
yet	4.094
endogen	4.094
transduct	4.094
downstream	4.094
foundat	4.094
benefici	4.09
cover	4.09
sativa	4.09
dynam	4.09
interestingli	4.09
consequ	4.09
consider	4.09
expect	4.09
anoth	4.09
newli	4.09
poorli	4.09
power	4.086
biotechnolog	4.086
particular	4.086
mean	4.086
complement	4.086
uncov	4.086
central	4.086
novo	4.086
defin	4.086
employ	4.086
homeostasi	4.086
typic	4.086
silico	4.086
almost	4.082
diversif	4.082
offer	4.082
summar	4.082
accord	4.082
particularli	4.082
implic	4.082
introduc	4.082
convent	4.082
substanti	4.082
dissect	4.082
compris	4.082
morpholog	4.082
cost	4.082
great	4.082
basic	4.082
commerci	4.082
biochem	4.082
achiev	4.082
regard	4.082
resolut	4.082
certain	4.082
manner	4.082
sinc	4.082
accur	4.082
henc	4.082
detail	4.082
often	4.082
possess	4.082
throughout	4.08
conclus	4.08
expos	4.08
opportun	4.08
systemat	4.08
leucin	4.08
except	4.08
impli	4.08
progress	4.08
phytohormon	4.08
notabl	4.08
effort	4.08
make	4.08
life	4.08
creat	4.08
simpl	4.08
draft	4.08
artifici	4.08
phylogeni	4.08
breeder	4.074
minor	4.074
modern	4.074
abl	4.074
numer	4.074
tradit	4.074
metabolom	4.074
past	4.074
subsequ	4.074
expand	4.074
becom	4.074
vital	4.074
comput	4.07
still	4.07
taken	4.07
broad	4.07
fulli	4.07
address	4.07
ancient	4.07
fundament	4.07
reactiv	4.07
chemic	4.07
probabl	4.07
led	4.07
purifi	4.07
maintain	4.07
mine	4.07
synteni	4.07
much	4.07
countri	4.07
primarili	4.07
secur	4.07
ontolog	4.07
modifi	4.066
around	4.066
aspect	4.066
incorpor	4.066
necessari	4.066
histori	4.066
goal	4.066
variabl	4.066
surviv	4.066
arabidopsis_thaliana	4.066
therebi	4.066
rhizobium	4.066
releas	4.066
desir	4.066
public	4.066
littl	4.066
sustain	4.066
open	4.066
us	4.066
qrt	4.066
overview	4.066
epigenet	4.062
least	4.062
health	4.062
fine	4.062
elit	4.062
pipelin	4.062
befor	4.062
interfer	4.062
given	4.062
name	4.062
guid	4.062
constitut	4.062
elucid	4.062
acceler	4.062
extrem	4.062
harbor	4.062
rapid	4.062
made	4.062
simultan	4.06
industri	4.06
overal	4.06
phaseolu	4.06
transient	4.06
along	4.06
where	4.06
resultsw	4.06
last	4.06
influenc	4.06
vari	4.06
suitabl	4.06
relev	4.06
abscis	4.06
interest	4.06
degrad	4.06
experiment	4.06
superfamili	4.06
properti	4.06
ani	4.06
illumina	4.06
would	4.06
resequenc	4.06
narrow	4.06
aim	4.06
ectop	4.06
framework	4.06
compos	4.06
state	4.06
grow	4.06
precis	4.06
nine	4.06
should	4.06
polymeras	4.055
exposur	4.055
benefit	4.055
suffici	4.055
oryza	4.055
redund	4.055
frequent	4.055
materi	4.055
revers	4.055
focu	4.055
intens	4.055
lack	4.055
strong	4.055
disequilibrium	4.055
whose	4.055
prevent	4.055
plasma	4.055
largest	4.055
either	4.055
then	4.055
special	4.055
difficult	4.055
far	4.055
commonli	4.055
few	4.05
toward	4.05
cellular	4.05
robust	4.05
conclud	4.05
publish	4.05
grown	4.05
pool	4.05
context	4.05
implement	4.05
drive	4.05
vitro	4.05
crucial	4.05
if	4.05
separ	4.05
advantag	4.05
cyst	4.05
best	4.05
discov	4.05
explain	4.05
protect	4.047
preferenti	4.047
coupl	4.047
publicli	4.047
survey	4.047
final	4.047
re	4.047
continu	4.047
object	4.047
call	4.047
damag	4.047
half	4.047
estim	4.047
classif	4.047
solubl	4.047
abil	4.047
extens	4.047
primari	4.047
japonicu	4.047
greater	4.047
divis	4.047
exploit	4.047
entir	4.047
signatur	4.043
unknown	4.043
without	4.043
hypothes	4.043
area	4.043
near	4.043
dicot	4.043
stabil	4.043
illustr	4.043
stabl	4.043
bacteria	4.043
consid	4.043
view	4.043
appear	4.043
real	4.043
impact	4.043
qpcr	4.043
fungi	4.043
propos	4.043
delay	4.043
consum	4.043
exogen	4.04
good	4.04
veri	4.04
nearli	4.04
though	4.04
case	4.04
recogn	4.04
resultsin	4.04
second	4.04
clear	4.04
attribut	4.04
seriou	4.04
previou	4.04
fast	4.04
respond	4.04
discoveri	4.04
divid	4.04
part	4.035
worldwid	4.035
ten	4.035
chain	4.035
mass	4.035
fill	4.035
next	4.035
polyploid	4.035
highest	4.035
extent	4.035
subcellular	4.035
deep	4.035
display	4.035
overlap	4.035
paramet	4.035
paper	4.035
demand	4.035
bioinformat	4.035
besid	4.035
absenc	4.035
consumpt	4.035
catalyz	4.03
transfer	4.03
start	4.03
mostli	4.03
evolv	4.03
constraint	4.03
practic	4.03
problem	4.03
background	4.03
post	4.027
progeni	4.027
dramat	4.027
overcom	4.027
purpos	4.027
restrict	4.027
repetit	4.027
account	4.027
ubiquit	4.027
domin	4.027
downregul	4.027
ident	4.027
diploid	4.027
lotu	4.027
shift	4.027
prolin	4.027
flank	4.027
frequenc	4.027
question	4.023
cycl	4.023
highlight	4.023
oxid	4.023
cv	4.023
did	4.023
contrast	4.023
fungal	4.023
bacteri	4.023
repress	4.023
suppress	4.023
do	4.023
reconstruct	4.023
oxygen	4.023
undergon	4.023
org	4.023
gain	4.023
success	4.023
intern	4.023
biosynthet	4.023
date	4.02
tomato	4.02
issu	4.02
third	4.02
tip	4.02
chromatin	4.02
earlier	4.02
predominantli	4.02
ma	4.02
landrac	4.02
genu	4.02
full	4.02
core	4.02
infer	4.02
characterist	4.02
late	4.02
span	4.02
shape	4.02
independ	4.02
doubl	4.016
pressur	4.016
cdna	4.016
correspond	4.016
accompani	4.016
direct	4.016
throughput	4.016
capabl	4.016
extend	4.016
driven	4.016
uptak	4.016
widespread	4.016
molecul	4.016
carbohydr	4.016
statu	4.016
amplif	4.016
depth	4.016
vector	4.016
conclusionsth	4.016
tempor	4.016
anim	4.01
storag	4.01
death	4.01
assess	4.01
fragment	4.01
point	4.01
omic	4.01
establish	4.01
shown	4.01
later	4.01
ancestor	4.01
eukaryot	4.01
exist	4.01
protocol	4.01
harvest	4.01
share	4.01
occurr	4.01
econom	4.01
dataset	4.01
manipul	4.01
bulk	4.01
deficit	4.008
ancestr	4.008
statist	4.008
stimuli	4.008
ng	4.008
array	4.008
advers	4.008
toxic	4.008
world	4.008
ecolog	4.008
balanc	4.008
mutagenesi	4.008
aid	4.008
annual	4.008
rot	4.008
becaus	4.008
architectur	4.008
softwar	4.004
young	4.004
medicago_truncatula	4.004
confer	4.004
challeng	4.004
optim	4.004
isogen	4.004
coverag	4.004
rare	4.004
catalyt	4.004
less	4.004
compound	4.004
altern	4.004
hg	4.004
commun	4.004
suppli	4.004
appli	4.004
critic	4.004
season	4.004
upstream	4.004
fusion	4.004
synthes	4.0
kingdom	4.0
reaction	4.0
close	4.0
soja	4.0
measur	4.0
approxim	4.0
capac	4.0
induct	4.0
transit	4.0
platform	4.0
proport	4.0
inbr	4.0
need	3.998
upregul	3.998
impair	3.998
modif	3.998
out	3.998
et	3.998
subset	3.998
hypothesi	3.998
averag	3.998
normal	3.998
synten	3.996
nacl	3.996
convers	3.996
spectrum	3.996
reliabl	3.996
microarray	3.996
engin	3.996
defect	3.996
iii	3.996
rust	3.996
kegg	3.996
phase	3.996
recess	3.994
maiz	3.994
fix	3.994
tobacco	3.994
valuabl	3.994
enabl	3.994
better	3.994
work	3.994
yeast	3.994
heterolog	3.994
precursor	3.992
amount	3.992
hundr	3.992
pea	3.992
antioxid	3.992
cascad	3.992
reproduct	3.992
solut	3.992
concern	3.992
phaseolus_vulgari	3.99
conduct	3.99
rhizobi	3.99
secondari	3.99
moder	3.99
larger	3.99
glycine_soja	3.99
chloroplast	3.988
shed	3.988
energi	3.988
methodolog	3.988
ensur	3.988
medicago	3.988
forc	3.988
innov	3.988
link	3.988
coordin	3.986
screen	3.986
extract	3.986
transloc	3.986
physic	3.986
especi	3.986
agronom	3.986
vascular	3.986
oleic	3.986
emerg	3.984
osmot	3.984
cultur	3.984
consensu	3.984
convert	3.984
initi	3.984
take	3.984
project	3.984
medicin	3.984
version	3.982
gap	3.982
climat	3.982
neg	3.982
rearrang	3.982
rather	3.982
therefor	3.982
ion	3.982
undergo	3.982
transpos	3.98
ago	3.98
embryo	3.98
microrna	3.98
complet	3.98
pest	3.98
translat	3.98
thaliana	3.979
legumin	3.979
china	3.979
librari	3.979
individu	3.979
acquisit	3.979
presenc	3.979
introduct	3.977
govern	3.977
substitut	3.977
fraction	3.977
biomass	3.977
ca	3.977
techniqu	3.977
forward	3.977
retain	3.977
peroxidas	3.975
indel	3.975
elev	3.975
feed	3.975
panel	3.975
attent	3.973
comparison	3.973
classifi	3.973
lay	3.973
rhizobia	3.973
glycine_max	3.973
race	3.973
wherea	3.973
parallel	3.973
edibl	3.973
rnai	3.973
reduct	3.973
tandem	3.97
anchor	3.97
tree	3.97
scale	3.97
remark	3.97
oilse	3.97
examin	3.97
ratio	3.97
repressor	3.97
geograph	3.97
unlik	3.969
nucleu	3.969
white	3.969
apic	3.969
minim	3.969
heterodera	3.969
seem	3.967
end	3.967
underw	3.967
place	3.967
support	3.967
land	3.967
fertil	3.967
spectrometri	3.967
alter	3.967
explor	3.965
assign	3.965
salicyl	3.965
align	3.965
degre	3.965
distanc	3.965
sd	3.965
seri	3.965
poplar	3.963
fixat	3.963
photosynthesi	3.963
exclus	3.963
captur	3.963
grass	3.963
dehydr	3.96
allow	3.96
carbon	3.96
step	3.96
isoflavonoid	3.96
clearli	3.96
knowledg	3.96
order	3.96
frame	3.96
effector	3.96
meet	3.96
contig	3.96
whether	3.96
chines	3.96
turn	3.959
complementari	3.959
adopt	3.959
serin	3.959
trigger	3.959
evid	3.959
meanwhil	3.959
mainten	3.959
web	3.959
expans	3.959
perspect	3.959
percentag	3.959
seven	3.959
jasmon	3.957
follow	3.957
extern	3.957
nutrit	3.957
mainli	3.957
down	3.957
causal	3.955
importantli	3.955
rt	3.955
lost	3.955
nac	3.955
lipid	3.955
prove	3.955
coincid	3.955
symbiot	3.955
same	3.955
phenylpropanoid	3.955
pre	3.953
fluoresc	3.953
poor	3.953
opposit	3.953
articl	3.953
desaturas	3.953
defenc	3.953
algorithm	3.953
doe	3.953
period	3.953
featur	3.951
favor	3.951
describ	3.951
height	3.951
residu	3.951
william	3.951
transmembran	3.951
vivo	3.951
ultim	3.951
tightli	3.951
herein	3.95
amplifi	3.95
greenhous	3.95
abov	3.95
simul	3.95
score	3.95
excel	3.95
discuss	3.947
gs	3.947
merr	3.947
sub	3.945
delet	3.945
ft	3.945
alga	3.945
usual	3.945
moreov	3.945
appar	3.945
global	3.945
partner	3.945
dehydrogenas	3.943
zinc	3.943
eight	3.943
photosynthet	3.943
ro	3.943
main	3.943
www	3.943
field	3.941
calcium	3.941
clarifi	3.941
visual	3.941
wt	3.941
phytophthora	3.941
veget	3.941
secret	3.941
uniqu	3.941
populu	3.94
pigment	3.94
acquir	3.94
polyploidi	3.94
valid	3.94
mosaic	3.94
recognit	3.938
nicotiana	3.938
pivot	3.938
experi	3.938
epistat	3.938
thousand	3.938
retent	3.938
free	3.938
random	3.938
perenni	3.936
comprehens	3.936
cotyledon	3.936
tropic	3.936
go	3.936
prefer	3.936
togeth	3.936
machineri	3.936
ad	3.936
program	3.934
predomin	3.934
via	3.934
mitochondri	3.934
fungu	3.934
latitud	3.934
unravel	3.934
linol	3.934
obtain	3.932
tran	3.932
green	3.932
unit	3.932
ph	3.932
summari	3.932
deploy	3.932
exon	3.932
phakopsora_pachyrhizi	3.932
agricultur	3.932
retrotransposon	3.932
unigen	3.932
affin	3.932
gibberellin	3.932
fabacea	3.932
insect	3.93
reflect	3.93
act	3.93
glycolysi	3.93
mad	3.93
remov	3.93
maximum	3.93
segreg	3.928
action	3.928
enzymat	3.928
hypersensit	3.928
prior	3.928
symbiosi	3.926
although	3.926
distinct	3.926
monocot	3.926
basal	3.926
design	3.926
lead	3.926
dri	3.926
hormon	3.926
carri	3.924
rp	3.924
ligas	3.922
splice	3.922
endoplasm	3.922
attract	3.922
attempt	3.922
characteris	3.922
isol	3.922
facilit	3.922
e3	3.922
bound	3.922
human	3.922
literatur	3.922
cytoplasm	3.92
advanc	3.92
redox	3.92
temperatur	3.92
accuraci	3.92
north	3.918
natur	3.918
disrupt	3.918
longer	3.918
resultsa	3.918
densiti	3.918
immun	3.918
n2	3.918
deciph	3.918
reticulum	3.918
trend	3.918
appropri	3.916
experienc	3.916
paralog	3.916
similarli	3.916
strand	3.916
asr	3.916
hypocotyl	3.914
nutrient	3.914
age	3.914
space	3.912
inhibit	3.912
help	3.912
physiolog	3.91
randomli	3.91
increasingli	3.91
twenti	3.91
depend	3.91
raw	3.91
confid	3.908
mycorrhiz	3.908
counterpart	3.908
prolifer	3.908
scaveng	3.908
cytochrom	3.908
beadchip	3.906
progenitor	3.906
thu	3.906
transposon	3.906
invers	3.906
arbuscular	3.906
categori	3.906
embryogenesi	3.906
multi	3.904
biotic	3.904
belong	3.904
tend	3.904
cereal	3.904
lower	3.904
photoperiod	3.904
incompat	3.904
elong	3.904
absent	3.904
chickpea	3.904
markedli	3.902
reach	3.902
nonsynonym	3.902
give	3.902
consist	3.902
cas9	3.902
vigna	3.902
soy	3.902
shock	3.9
probe	3.9
requir	3.9
current	3.9
est	3.9
agrobacterium	3.898
herit	3.898
nevertheless	3.898
strategi	3.898
development	3.898
occur	3.898
rise	3.898
multigen	3.898
quantifi	3.896
am	3.896
atmospher	3.896
util	3.896
friendli	3.896
clue	3.896
until	3.896
smaller	3.896
oxidas	3.896
regularli	3.896
pleiotrop	3.896
old	3.896
cours	3.896
format	3.896
substrat	3.896
compat	3.896
bhlh	3.896
finger	3.895
when	3.895
index	3.895
bud	3.893
them	3.893
angiosperm	3.893
potato	3.893
satur	3.893
how	3.893
genic	3.893
dietari	3.893
basi	3.89
stimul	3.89
phosphat	3.89
introgress	3.89
insight	3.89
loop	3.89
treat	3.89
due	3.89
onlin	3.89
elimin	3.889
peke	3.889
palindrom	3.889
detoxif	3.889
updat	3.889
behind	3.889
anthocyanin	3.889
construct	3.889
tag	3.889
origin	3.887
exchang	3.887
gwa	3.887
gb	3.887
self	3.887
lupin	3.885
test	3.885
futur	3.885
mode	3.885
peak	3.885
label	3.885
forag	3.885
male	3.885
hybrid	3.885
assimil	3.885
ssp	3.885
meristem	3.883
alkalin	3.883
microb	3.883
refin	3.883
threat	3.883
proper	3.883
million	3.883
conclusionsthi	3.883
hold	3.883
oomycet	3.883
block	3.88
underli	3.88
rich	3.88
confirm	3.879
possibl	3.879
ap2	3.879
excess	3.879
asia	3.879
synthet	3.879
flavonoid	3.879
layer	3.879
risk	3.879
